path	translation	split
common_voice_ja_19499629.mp3	I will go out wearing my new shoes.	test
common_voice_ja_19806589.mp3	Please come in casual clothes.	test
common_voice_ja_19984402.mp3	I will definitely do it.	test
common_voice_ja_19676248.mp3	I'll stroll casually to the ballpark that is less than ten minutes’ walk away.	test
common_voice_ja_20184174.mp3	There was a large audience in the room.	test
common_voice_ja_20184176.mp3	She gave him a good kick.	test
common_voice_ja_19792531.mp3	Because the weather was hot, I went back home and had a shower.	test
common_voice_ja_19792532.mp3	I want to be a fine adult.	test
common_voice_ja_19701169.mp3	The room had not been tidied up at all.	test
common_voice_ja_19701171.mp3	Cut your coat according to your cloth.	test
common_voice_ja_19701172.mp3	My father loves my mother.	test
common_voice_ja_19701173.mp3	My father cherished my younger brother like a precious gem.	test
common_voice_ja_20088744.mp3	I will pay in the money at the teller window.	test
common_voice_ja_20088745.mp3	Mr. Kobayashi has a blue umbrella.	test
common_voice_ja_20088746.mp3	My father has not returned yet.	test
common_voice_ja_20088747.mp3	I will buy cheaper clothes.	test
common_voice_ja_19572004.mp3	I am planning to make curry for dinner tonight.	test
common_voice_ja_19572005.mp3	My eyes are tired from reading a book in a dark room.	test
common_voice_ja_19572007.mp3	She died a tragic death.	test
common_voice_ja_19572008.mp3	The wind created a snowdrift.	test
common_voice_ja_19517023.mp3	My father is still resting.	test
common_voice_ja_19517024.mp3	She was prone to catching a cold.	test
common_voice_ja_19517025.mp3	I don't get much rest because I'm busy every day.	test
common_voice_ja_19517026.mp3	I want you to speed up the investigation into the cause of the accident.	test
common_voice_ja_19537421.mp3	Thank you for visiting me when I was unwell.	test
common_voice_ja_19537422.mp3	My father is set to travel to New York.	test
common_voice_ja_19537423.mp3	It is feared that the citizens currently present will escape.	test
common_voice_ja_19537424.mp3	The prices have gone up.	test
common_voice_ja_19537425.mp3	It’s understandable that you would get angry.	test
common_voice_ja_19523282.mp3	A reasonable person wouldn’t say such a thing.	test
common_voice_ja_19523283.mp3	It is getting a little bit cloudier.	test
common_voice_ja_19523284.mp3	My father normally takes the bus to his office.	test
common_voice_ja_19523285.mp3	It is difficult to speak in English.	test
common_voice_ja_19523286.mp3	She is a good cook.	test
common_voice_ja_19555944.mp3	A strong wind is blowing.	test
common_voice_ja_19555947.mp3	That is the end of today's class. I will see you again next week.	test
common_voice_ja_19555949.mp3	I bought new shoes at the department store two days ago.	test
common_voice_ja_19555951.mp3	We quietly walked up and bowed our heads.	test
common_voice_ja_19555952.mp3	One is totally spoiling themself by being reliant on their superior, dependent on society and soft on themself.	test
common_voice_ja_19547304.mp3	I wear glasses because my eyesight is poor.	test
common_voice_ja_19547305.mp3	Take your work seriously!	test
common_voice_ja_19547306.mp3	She changed her name to Ann.	test
common_voice_ja_19547307.mp3	My father went to Hong Kong for business.	test
common_voice_ja_19547308.mp3	I was taken by surprise and struggled to think of a reply.	test
common_voice_ja_19677953.mp3	Every last one of them agreed that this statement was true.	test
common_voice_ja_19677954.mp3	My father stopped reading so that he could eat his lunch.	test
common_voice_ja_19677955.mp3	Learning Japanese is fun.	test
common_voice_ja_19677956.mp3	She has never been to Hokkaido.	test
common_voice_ja_19677957.mp3	If you are all going, then I am going too.	test
common_voice_ja_19486649.mp3	It should have taken the same amount of effort it did to build the pyramids.	test
common_voice_ja_19486650.mp3	I don’t have any money at the moment.	test
common_voice_ja_19486651.mp3	My dad was satisfied with the result.	test
common_voice_ja_19486652.mp3	She is fashion conscious.	test
common_voice_ja_19486653.mp3	However, the apostles realized the danger.	test
common_voice_ja_19799299.mp3	I currently weigh 45 kilograms.	test
common_voice_ja_19799300.mp3	On Monday, I am at school from morning onwards.	test
common_voice_ja_19799301.mp3	Yes. That’s right!	test
common_voice_ja_19799302.mp3	My father has gone to America.	test
common_voice_ja_19799303.mp3	My dad bought me a motorbike.	test
common_voice_ja_19779197.mp3	The clothes were in colors like red, pink and blue.	test
common_voice_ja_19779198.mp3	She looked ill.	test
common_voice_ja_19779199.mp3	The lilies were beaten down by the rain	test
common_voice_ja_19779200.mp3	I will phone Yi tomorrow.	test
common_voice_ja_19779201.mp3	Only peace can save the world.	test
common_voice_ja_19861087.mp3	He jumped into the river, paying no heed to the ice-cold water.	test
common_voice_ja_19861088.mp3	She's an incredibly unique individual.	test
common_voice_ja_19861089.mp3	At that time, it was Japan’s premier long-distance bus.	test
common_voice_ja_19861090.mp3	In summer, I always go out with a hat on.	test
common_voice_ja_19861091.mp3	Yes. I understand!	test
common_voice_ja_20068298.mp3	My father likes to boast about how handsome I am.	test
common_voice_ja_20068299.mp3	She would do whatever she could to get her hands on the things she wanted.	test
common_voice_ja_20068300.mp3	Illness begins in the mind	test
common_voice_ja_20068301.mp3	Do you understand?	test
common_voice_ja_20068302.mp3	I have things like a desk, a bed, and a TV in my room.	test
common_voice_ja_20068358.mp3	She couldn’t go to the party because she was ill.	test
common_voice_ja_20068359.mp3	She is getting married next year.	test
common_voice_ja_20068361.mp3	I will go to the embassy tomorrow.	test
common_voice_ja_20068362.mp3	The sound I could hear was only the ticking of the clock.	test
common_voice_ja_19673789.mp3	Wishing you a complete recovery.	test
common_voice_ja_19673790.mp3	My husband always reads books in bed.	test
common_voice_ja_19673791.mp3	My father chose not to dampen my enthusiasm.	test
common_voice_ja_19673792.mp3	I’m planning to look for a cheaper place.	test
common_voice_ja_19673793.mp3	The midday sun shone blindingly on the tennis court.	test
